Category,Model,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Bagging,Random Forest (Bagging),0.5199999999999998,0.776,0.49463044851547694,0.5900527505651846,0.5381443298969072,0.7768406457529675,0.5555228863237555
Baseline,Decision Tree (Baseline),0.5999999999999998,0.7736666666666666,0.48990228013029313,0.5666917859834213,0.5255066387141859,0.7609525838359212,0.5272586083294393
Boosting,HistGradientBoosting (Boosting),0.29999999999999993,0.7956666666666666,0.5371050698016164,0.5508666164280331,0.5438988095238095,0.7796483865448404,0.5602966226121139
Stacking,Stacking (RF + ET + HGB),0.5999999999999998,0.7938333333333333,0.5324675324675324,0.5561416729464959,0.5440471802432731,0.7780443087976255,0.5588951522730142
