Category,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Rank_Accuracy,Rank_Precision,Rank_Recall,Rank_F1-score,Rank_ROC-AUC,Rank_PR-AUC,Average_Rank
Boosting,HistGradientBoosting (Boosting),0.7956666666666666,0.5371050698016164,0.5508666164280331,0.5438988095238095,0.7796483865448404,0.5602966226121139,3,3,6,2,3,1,3.0
Boosting,LightGBM (Boosting),0.7971666666666667,0.5411676646706587,0.544837980406933,0.5429966203529853,0.7831090790606978,0.5564692082801858,2,2,7,3,1,3,3.0
Stacking,Stacking (RF + ET + HGB),0.7938333333333333,0.5324675324675324,0.5561416729464959,0.5440471802432731,0.7780443087976255,0.5588951522730142,4,4,4,1,4,2,3.1666666666666665
Boosting,XGBoost (Boosting),0.7853333333333333,0.5133287764866712,0.5659382064807837,0.5383512544802868,0.7801141125460425,0.5514572873928476,5,5,3,4,2,5,4.0
Bagging,Extra Trees (Bagging),0.8021666666666667,0.5585284280936454,0.5033911077618689,0.5295283392786365,0.7662178033439707,0.5437867800384707,1,1,8,7,6,6,4.833333333333333
Bagging,Random Forest (Bagging),0.776,0.49463044851547694,0.5900527505651846,0.5381443298969072,0.7768406457529675,0.5555228863237555,8,8,1,5,5,4,5.166666666666667
Boosting,AdaBoost (Boosting),0.7781666666666667,0.49867197875166,0.5659382064807837,0.5301800211789622,0.7581720964007669,0.5164978111190556,7,7,3,6,9,9,6.833333333333333
Baseline,Logistic Regression (Baseline),0.7786666666666666,0.4996591683708248,0.5523737754333082,0.5246957766642806,0.7618264651380382,0.5232685684470946,6,6,5,9,7,8,6.833333333333333
Baseline,Decision Tree (Baseline),0.7736666666666666,0.48990228013029313,0.5666917859834213,0.5255066387141859,0.7609525838359212,0.5272586083294393,9,9,2,8,8,7,7.166666666666667
